ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC

School Name,State Name [Public School] Latest available year,State Name [Public School] 2016-17,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Location City [Public School] 2016-17,Location State Abbr [Public School] 2016-17,Location ZIP [Public School] 2016-17,Grade 12 offered [Public School] 2016-17,Grade 11 offered [Public School] 2016-17,Pupil/Teacher Ratio [Public School] 2016-17
KELLMAN CORPORATE COMMUNITY ELEM,Illinois,ILLINOIS,170993000760,Chicago,IL ,60612,2-No,2-No,18.70
KELLOGG (KARL H.) ELEMENTARY,California,CALIFORNIA,060861000864,Chula Vista,CA ,91911,2-No,2-No,23.43
KELLOGG ELEM SCHOOL,Illinois,ILLINOIS,170993000882,Chicago,IL ,60643,2-No,2-No,18.68
KELLOGG ELEMENTARY,California,CALIFORNIA,061551001973,Goleta,CA ,93117,2-No,2-No,19.67
KELLOGG ELEMENTARY SCHOOL,Michigan,MICHIGAN,261725005407,HICKORY CORNERS,MI ,49060,2-No,2-No,14.90
KELLOGG ELEMENTARY SCHOOL,West Virginia,WEST VIRGINIA,540150001105,HUNTINGTON,WV ,25704,2-No,2-No,17.72
KELLOGG HIGH SCHOOL,Idaho,IDAHO,160165000293,KELLOGG,ID ,83837,1-Yes,1-Yes,13.76
KELLOGG MARSH ELEMENTARY SCHOOL,Washington,WASHINGTON,530486002261,Marysville,WA ,98270,2-No,2-No,18.75
KELLOGG MIDDLE,Minnesota,MINNESOTA,273180001020,ROCHESTER,MN ,55906,2-No,2-No,15.76
KELLOGG MIDDLE SCHOOL,Washington,WASHINGTON,530792001308,Shoreline,WA ,98155,2-No,2-No,21.42
KELLOGG MIDDLE SCHOOL,Idaho,IDAHO,160165000292,KELLOGG,ID ,83837,2-No,2-No,18.29
KELLOGG POLYTECHNIC ELEMENTARY,California,CALIFORNIA,063132004847,Pomona,CA ,91768,2-No,2-No,23.47
KELLOGGSVILLE HIGH SCHOOL,Michigan,MICHIGAN,262016005697,GRAND RAPIDS,MI ,49548,1-Yes,1-Yes,22.53
KELLOGGSVILLE MIDDLE SCHOOL,Michigan,MICHIGAN,262016005696,GRAND RAPIDS,MI ,49548,2-No,2-No,19.84
KELLOM ELEMENTARY SCHOOL,Nebraska,NEBRASKA,317482001397,OMAHA,NE ,68102,2-No,2-No,14.97
KELLWOOD  SCHOOL (ALTERNATIVE),Michigan,MICHIGAN,261245000193,Eastpointe,MI ,48021,1-Yes,1-Yes,24.09
KELLY A BURLISON MIDDLE SCHOOL,Missouri,MISSOURI,291254002523,FREDERICKTOWN,MO ,63645,2-No,2-No,16.06
KELLY CREEK ELEMENTARY SCHOOL,Oregon,OREGON,410600000534,Gresham,OR ,97080,2-No,2-No,23.08
KELLY EDWARDS ELEMENTARY,South Carolina,SOUTH CAROLINA,450105000128,Williston,SC ,29853,2-No,2-No,14.00
KELLY EL SCH,Pennsylvania,PENNSYLVANIA,421359004084,Lewisburg,PA ,17837,2-No,2-No,13.53
KELLY ELEMENTARY,Massachusetts,MASSACHUSETTS,250627000904,Holyoke,MA ,01040,2-No,2-No,13.26
KELLY ELEMENTARY,California,CALIFORNIA,060962000984,Compton,CA ,90221,2-No,2-No,27.63
KELLY ELEMENTARY,California,CALIFORNIA,060750000711,Carlsbad,CA ,92008,2-No,2-No,23.16
KELLY ELEMENTARY,Wyoming,WYOMING,560583000339,Kelly,WY ,83011,2-No,2-No,12.27
KELLY ELEMENTARY SCHOOL,New Jersey,NEW JERSEY,341761002488,W ORANGE,NJ ,07052,2-No,2-No,9.54
KELLY ELEMENTARY SCHOOL,Oregon,OREGON,411004000909,Portland,OR ,97266,2-No,2-No,17.19
KELLY JOHN B SCH,Pennsylvania,PENNSYLVANIA,421899005294,Philadelphia,PA ,19144,2-No,2-No,16.46
KELLY LANE MIDDLE,Texas,TEXAS,483483011356,PFLUGERVILLE,TX ,78660,2-No,2-No,16.94
KELLY LANE PRIMARY SCHOOL,Connecticut,CONNECTICUT,090168000290,Granby,CT ,06035,2-No,2-No,13.29
KELLY LIBERAL ARTS ACADEMY,Kansas,KANSAS,201299001086,Wichita,KS ,67217,2-No,2-No,18.82
KELLY MATT ES,Nevada,NEVADA,320006000075,Las Vegas,NV ,89106,2-No,2-No,13.65
KELLY MIDDLE SCHOOL,Oregon,OREGON,410474000562,Eugene,OR ,97404,2-No,2-No,19.94
KELLY MILL ELEMENTARY,Georgia,GEORGIA,130222004084,Cumming,GA ,30040,2-No,2-No,17.64
KELLY MILL MIDDLE,South Carolina,SOUTH CAROLINA,450339000927,Blythewood,SC ,29016,2-No,2-No,13.56
KELLY MILLER ELEMENTARY,South Carolina,SOUTH CAROLINA,450210000416,Winnsboro,SC ,29180,2-No,2-No,12.26
KELLY MILLER MS,District of Columbia,DISTRICT OF COLUMBIA,110003000272,Washington,DC ,20019,2-No,2-No,12.14
KELLY PRIMARY SCH,Pennsylvania,PENNSYLVANIA,422637005106,Wilkinsburg,PA ,15221,2-No,2-No,9.71
KELLY SPRINGS ELEMENTARY SCHOOL,Alabama,ALABAMA,010123001817,Dothan,AL ,36303,2-No,2-No,22.18
KELLY STEAM MAGNET MIDDLE SCHOOL,Connecticut,CONNECTICUT,090312000670,Norwich,CT ,06360,2-No,2-No,14.52
KELLY WALSH HIGH SCHOOL,Wyoming,WYOMING,560451000229,Casper,WY ,82609,1-Yes,1-Yes,15.40
KELLY-PHARR EL,Texas,TEXAS,483486006598,PHARR,TX ,78577,2-No,2-No,17.26
KELLYBROOK ELEM SCHOOL,Missouri,MISSOURI,291854003113,KANSAS CITY,MO ,64157,2-No,2-No,18.51
KELLYVILLE ES,Oklahoma,OKLAHOMA,401617000753,Kellyville,OK ,74039,2-No,2-No,18.47
KELLYVILLE HS,Oklahoma,OKLAHOMA,401617000754,Kellyville,OK ,74039,1-Yes,1-Yes,15.59
KELLYVILLE MS,Oklahoma,OKLAHOMA,401617000154,Kellyville,OK ,74039,2-No,2-No,15.31
KELLYVILLE UPPER ES,Oklahoma,OKLAHOMA,401617002340,Kellyville,OK ,74039,2-No,2-No,16.39
KELSEY L. PHARR ELEMENTARY SCHOOL,Florida,FLORIDA,120039000495,MIAMI,FL ,33142,2-No,2-No,16.23
KELSEY NORMAN ELEM.,Missouri,MISSOURI,291635000780,JOPLIN,MO ,64802,2-No,2-No,16.47
KELSEYVILLE COMMUNITY DAY,California,CALIFORNIA,061932010511,Kelseyville,CA ,95451,1-Yes,1-Yes,7.00
KELSEYVILLE ELEMENTARY,California,CALIFORNIA,061932002324,Kelseyville,CA ,95451,2-No,2-No,17.15
KELSEYVILLE HIGH,California,CALIFORNIA,061932002325,Kelseyville,CA ,95451,1-Yes,1-Yes,19.39
KELSO (WILLIAM H.) ELEMENTARY,California,CALIFORNIA,061839002255,Inglewood,CA ,90301,2-No,2-No,24.70
KELSO EL,Texas,TEXAS,482364002507,HOUSTON,TX ,77033,2-No,2-No,16.82
KELSO ELEM.,Missouri,MISSOURI,291647000895,BENTON,MO ,63736,2-No,2-No,9.78
KELSO ELEMENTARY SCHOOL,Oregon,OREGON,411089001297,Boring,OR ,97009,2-No,2-No,21.73
KELSO HIGH SCHOOL,Washington,WASHINGTON,530000300593,Kelso,WA ,98626,1-Yes,1-Yes,21.17
KELSO VIRTUAL ACADEMY,Washington,WASHINGTON,530000303314,Kelso,WA ,98626,1-Yes,1-Yes,36.00
KELTON ISD,Texas,TEXAS,482529005755,WHEELER,TX ,79096,1-Yes,1-Yes,5.58
KELVIN GROVE JR HIGH SCHOOL,Illinois,ILLINOIS,170921000529,Lockport,IL ,60441,2-No,2-No,15.14
KELVYN PARK HIGH SCHOOL,Illinois,ILLINOIS,170993000923,Chicago,IL ,60639,1-Yes,1-Yes,15.50
KEMMERER ELEMENTARY SCHOOL,WYOMING,WYOMING,560403000556,Kemmerer,WY ,83101,2-No,2-No,13.11
KEMMERER JUNIOR SENIOR HIGH SCHOOL,WYOMING,WYOMING,560403000557,Kemmerer,WY ,83101,1-Yes,1-Yes,13.23
KEMMERER VILLAGE SCHOOL,Illinois,ILLINOIS,170910005138,Assumption,IL ,62510,1-Yes,1-Yes,4.00
KEMP ALTERNATIVE,Texas,TEXAS,482532010871,KEMP,TX ,75143,1-Yes,1-Yes,†
KEMP ELEMENTARY SCHOOL,Colorado,COLORADO,080195000016,COMMERCE CITY,CO ,80022,2-No,2-No,17.79
KEMP ELEMENTARY SCHOOL,Ohio,OHIO,390438404300,Dayton,OH ,45403,2-No,2-No,15.19
KEMP ELEMENTARY SCHOOL,Georgia,GEORGIA,130129002527,Powder Springs,GA ,30127,2-No,2-No,13.90
KEMP ELEMENTARY SCHOOL,Georgia,GEORGIA,130123001925,Hampton,GA ,30228,2-No,2-No,18.92
KEMP H S,Texas,TEXAS,482532002826,KEMP,TX ,75143,1-Yes,1-Yes,13.74
KEMP INT,Texas,TEXAS,482532006572,KEMP,TX ,75143,2-No,2-No,13.74
KEMP J H,Texas,TEXAS,482532002827,KEMP,TX ,75143,2-No,2-No,13.48
KEMP MILL ELEMENTARY,Maryland,MARYLAND,240048000858,Silver Spring,MD ,20902,2-No,2-No,12.30
KEMP PRI,Texas,TEXAS,482532002825,KEMP,TX ,75143,2-No,2-No,14.00
KEMP PRIMARY,Georgia,GEORGIA,130123003318,Hampton,GA ,30228,2-No,2-No,17.33
KEMP-CARVER EL,Texas,TEXAS,481179021134,BRYAN,TX ,77803,2-No,2-No,15.83
KEMPER COUNTY HIGH SCHOOL,Mississippi,MISSISSIPPI,280231001116,DeKalb,MS ,39328,1-Yes,1-Yes,14.39
KEMPER ELEMENTARY SCHOOL,Colorado,COLORADO,080309000835,CORTEZ,CO ,81321,2-No,2-No,17.81
KEMPNER H S,Texas,TEXAS,481965006540,SUGAR LAND,TX ,77498,1-Yes,1-Yes,18.68
KEMPSVILLE ELEMENTARY,Virginia,VIRGINIA,510384001693,Virginia Beach,VA ,23464,2-No,2-No,15.69
KEMPSVILLE HIGH,Virginia,VIRGINIA,510384001694,Virginia Beach,VA ,23464,1-Yes,1-Yes,16.27
KEMPSVILLE MEADOWS ELEMENTARY,Virginia,VIRGINIA,510384001696,Virginia Beach,VA ,23462,2-No,2-No,17.73
KEMPSVILLE MIDDLE,Virginia,VIRGINIA,510384001695,Virginia Beach,VA ,23464,2-No,2-No,16.09
KEMPTON ELEMENTARY SCHOOL,Michigan,MICHIGAN,263039006670,SAGINAW,MI ,48602,2-No,2-No,19.32
KEMPTON STREET LITERACY ACADEMY,California,CALIFORNIA,062025002430,Spring Valley,CA ,91977,2-No,2-No,–
KEMPTOWN ELEMENTARY,Maryland,MARYLAND,240033001412,Monrovia,MD ,21770,2-No,2-No,17.49
KEN 'CHIEF' HILL LEARNING ACADEMY,Arizona,ARIZONA,040187002939,Chandler,AZ ,85225,1-Yes,1-Yes,0.00
KEN CARYL MIDDLE SCHOOL,Colorado,COLORADO,080480000742,LITTLETON,CO ,80123,2-No,2-No,20.34
KENAI ALTERNATIVE HIGH SCHOOL,Alaska,ALASKA,020039000079,Kenai,AK ,99611,1-Yes,1-Yes,10.67
KENAI CENTRAL HIGH SCHOOL,Alaska,ALASKA,020039000537,Kenai,AK ,99611,1-Yes,1-Yes,15.57
KENAI MIDDLE SCHOOL,Alaska,ALASKA,020039000538,Kenai,AK ,99611,2-No,2-No,15.65
KENANSVILLE ELEMENTARY,North Carolina,NORTH CAROLINA,370120000499,Kenansville,NC ,28349,2-No,2-No,12.82
KENBRIDGE ELEMENTARY,Virginia,VIRGINIA,510231000946,Kenbridge,VA ,23944,2-No,2-No,21.03
KENBROOK ELEMENTARY SCHOOL,Michigan,MICHIGAN,261407005042,FARMINGTON HILLS,MI ,48334,2-No,2-No,16.07
KENDALE ELEMENTARY SCHOOL,Florida,FLORIDA,120039000440,MIAMI,FL ,33176,2-No,2-No,14.94
KENDALE LAKES ELEMENTARY SCHOOL,Florida,FLORIDA,120039000441,MIAMI,FL ,33183,2-No,2-No,14.83
KENDALL CENTER,Iowa,IOWA,190327000021,Albia,IA ,52531,2-No,2-No,24.50
KENDALL COLLEGE & CAREER ACADEMY,Connecticut,CONNECTICUT,090309000649,Norwalk,CT ,06850,2-No,2-No,19.18
KENDALL EL,Texas,TEXAS,481071008860,BOERNE,TX ,78006,2-No,2-No,15.04
KENDALL ELEMENTARY,Washington,WASHINGTON,530531002776,MAPLE FALLS,WA ,98266,2-No,2-No,15.89
KENDALL ELEMENTARY,California,CALIFORNIA,063417005363,San Bernardino,CA ,92407,2-No,2-No,24.71
KENDALL ELEMENTARY SCHOOL,New York,NEW YORK,361620001398,KENDALL,NY ,14476,2-No,2-No,12.29
KENDALL JUNIOR-SENIOR HIGH SCHOOL,New York,NEW YORK,361620001399,KENDALL,NY ,14476,1-Yes,1-Yes,10.67
KENDALL-WHITTIER ES,Oklahoma,OKLAHOMA,403024002249,Tulsa,OK ,74104,2-No,2-No,16.80
KENDALLVUE ELEMENTARY SCHOOL,Colorado,COLORADO,080480001372,MORRISON,CO ,80465,2-No,2-No,18.71
KENDERTON EL SCH,PENNSYLVANIA,PENNSYLVANIA,421899007593,Philadelphia,PA ,19140,2-No,2-No,14.54
KENDON SCHOOL,Michigan,MICHIGAN,262115005804,LANSING,MI ,48910,2-No,2-No,15.71
KENDRICK EL,Texas,TEXAS,484428005041,WACO,TX ,76711,2-No,2-No,17.32
KENDRICK HIGH SCHOOL,Georgia,GEORGIA,130387001421,Columbus,GA ,31907,1-Yes,1-Yes,16.78
KENDRICK JR/SR HIGH SCHOOL,Idaho,IDAHO,160168000299,KENDRICK,ID ,83537,1-Yes,1-Yes,10.62
KENDRICK LAKES ELEMENTARY SCHOOL,Colorado,COLORADO,080480000743,LAKEWOOD,CO ,80232,2-No,2-No,19.45
KENDRICK MIDDLE SCHOOL,Georgia,GEORGIA,130123002057,Jonesboro,GA ,30238,2-No,2-No,14.89
KENDYL DEPOALI MIDDLE SCHOOL,Nevada,NEVADA,320048000678,Reno,NV ,89521,2-No,2-No,21.76
KENDYL DEPOALI MS PRESCHOOL,Nevada,NEVADA,320048000838,Reno,NV ,89521,2-No,2-No,†
KENEDY EL,Texas,TEXAS,482544006004,KENEDY,TX ,78119,2-No,2-No,12.92
KENEDY H S,Texas,TEXAS,482544002832,KENEDY,TX ,78119,1-Yes,1-Yes,10.07
KENEDY MIDDLE,Texas,TEXAS,482544002834,KENEDY,TX ,78119,2-No,2-No,12.36
KENESAW ELEMENTARY SCHOOL,Nebraska,NEBRASKA,317242001111,KENESAW,NE ,68956,2-No,2-No,15.48
KENESAW SECONDARY SCHOOL,Nebraska,NEBRASKA,317242001112,KENESAW,NE ,68956,1-Yes,1-Yes,11.38
KENILWORTH ELEMENTARY,Maryland,MARYLAND,240051001077,Bowie,MD ,20715,2-No,2-No,13.89
KENILWORTH ELEMENTARY SCHOOL,Arizona,ARIZONA,040630000533,Phoenix,AZ ,85003,2-No,2-No,18.55
KENILWORTH JUNIOR HIGH,California,CALIFORNIA,063025004718,Petaluma,CA ,94954,2-No,2-No,22.23
KENILWORTH SCIENCE AND TECHNOLOGY CHARTER SCHOOL,LOUISIANA,LOUISIANA,220025800389,Baton Rouge,LA ,70808,2-No,2-No,15.87
KENLY ELEMENTARY SCHOOL,Florida,FLORIDA,120087000964,TAMPA,FL ,33619,2-No,2-No,10.43
KENMARE ELEMENTARY SCHOOL,North Dakota,NORTH DAKOTA,381018000731,Kenmare,ND ,58746,2-No,2-No,11.80
KENMARE HIGH SCHOOL,North Dakota,NORTH DAKOTA,381018000326,Kenmare,ND ,58746,1-Yes,1-Yes,8.20
KENMOOR EARLY CHILDHOOD CENTER,MARYLAND,MARYLAND,240051001731,Landover,MD ,20785,2-No,2-No,7.68
KENMOOR MIDDLE,Maryland,MARYLAND,240051001473,Landover,MD ,20785,2-No,2-No,12.00
KENMORE EAST SENIOR HIGH SCHOOL,New York,NEW YORK,361623001410,TONAWANDA,NY ,14150,1-Yes,1-Yes,10.92
KENMORE ELEMENTARY,Washington,WASHINGTON,530591000885,Kenmore,WA ,98028,2-No,2-No,16.38
KENMORE ELEMENTARY,California,CALIFORNIA,060369000332,Baldwin Park,CA ,91706,2-No,2-No,24.55
KENMORE ELEMENTARY,Maryland,MARYLAND,240024001491,Elkton,MD ,21921,2-No,2-No,13.72
KENMORE HIGH SCHOOL,Ohio,OHIO,390434800035,Akron,OH ,44314,1-Yes,1-Yes,13.50
KENMORE MIDDLE,Virginia,VIRGINIA,510027000099,Arlington,VA ,22204,2-No,2-No,11.54
KENMORE MIDDLE SCHOOL,Washington,WASHINGTON,530591000886,Kenmore,WA ,98028,2-No,2-No,20.68
KENMORE WEST SENIOR HIGH SCHOOL,New York,NEW YORK,361623001412,BUFFALO,NY ,14223,1-Yes,1-Yes,11.46
KENNA ELEMENTARY SCHOOL,West Virginia,WEST VIRGINIA,540054000333,KENNA,WV ,25248,2-No,2-No,15.69
KENNA ELEMENTARY SCHOOL,West Virginia,WEST VIRGINIA,540060000410,CHARLESTON,WV ,25314,2-No,2-No,16.23
KENNARD ELEMENTARY SCHOOL,Maryland,MARYLAND,240054001070,Centreville,MD ,21617,2-No,2-No,17.23
KENNARD H S,Texas,TEXAS,482547002837,KENNARD,TX ,75847,1-Yes,1-Yes,7.63
KENNARD ISD,Texas,TEXAS,482547002836,KENNARD,TX ,75847,2-No,2-No,13.91
KENNARD-DALE HS,Pennsylvania,PENNSYLVANIA,422217004602,Fawn Grove,PA ,17321,1-Yes,1-Yes,12.08
KENNEBUNK ELEMENTARY SCHOOL,Maine,MAINE,231477300580,Kennebunk,ME ,04043,2-No,2-No,13.15
KENNEBUNK HIGH SCHOOL,Maine,MAINE,231477300799,Kennebunk,ME ,04043,1-Yes,1-Yes,11.47
KENNEBUNKPORT CONSOLIDATED SCH,Maine,MAINE,231477300801,Kennebunkport,ME ,04046,2-No,2-No,12.14
KENNEDALE ALTER ED PROG,Texas,TEXAS,482550009388,KENNEDALE,TX ,76060,–,–,†
KENNEDALE H S,Texas,TEXAS,482550002839,KENNEDALE,TX ,76060,1-Yes,1-Yes,15.41
KENNEDALE J H,Texas,TEXAS,482550002840,KENNEDALE,TX ,76060,2-No,2-No,15.46
KENNEDY (JOHN F.) ELEMENTARY,California,CALIFORNIA,060162000019,Artesia,CA ,90701,2-No,2-No,24.41
KENNEDY ACADEMY,Indiana,INDIANA,181029001663,South Bend,IN ,46628,2-No,2-No,21.90
KENNEDY CENTER,Michigan,MICHIGAN,262874001156,PONTIAC,MI ,48340,1-Yes,1-Yes,9.63
KENNEDY COMMUNITY SCHOOL,Minnesota,MINNESOTA,273351001485,SAINT JOSEPH,MN ,56374,2-No,2-No,17.70
KENNEDY EL,Texas,TEXAS,484512005145,CORPUS CHRISTI,TX ,78416,2-No,2-No,16.65
KENNEDY EL,Texas,TEXAS,481806001603,ELSA,TX ,78543,2-No,2-No,17.00
KENNEDY EL,Texas,TEXAS,484245004839,TERRELL,TX ,75160,2-No,2-No,19.28
KENNEDY EL,Texas,TEXAS,480783000112,HOUSTON,TX ,77099,2-No,2-No,12.81
KENNEDY EL,Texas,TEXAS,481773008868,EAGLE PASS,TX ,78852,2-No,2-No,22.65
KENNEDY EL,Texas,TEXAS,482364002508,HOUSTON,TX ,77022,2-No,2-No,18.96
KENNEDY ELEM,Kansas,KANSAS,200840001369,Lawrence,KS ,66046,2-No,2-No,12.49
KENNEDY ELEM,Kansas,KANSAS,200318001060,Abilene,KS ,67410,2-No,2-No,16.49
KENNEDY ELEM,Kansas,KANSAS,201284000723,Wellington,KS ,67152,2-No,2-No,10.78
KENNEDY ELEM SCHOOL,Illinois,ILLINOIS,170996001223,Chicago Heights,IL ,60411,2-No,2-No,11.76
KENNEDY ELEMENTARY,California,CALIFORNIA,062187012815,Lindsay,CA ,93247,2-No,2-No,26.72
KENNEDY ELEMENTARY,Minnesota,MINNESOTA,271878000877,MANKATO,MN ,56001,2-No,2-No,14.29
KENNEDY ELEMENTARY,Wisconsin,WISCONSIN,550852000939,Madison,WI ,53714,2-No,2-No,14.20
KENNEDY ELEMENTARY,Minnesota,MINNESOTA,271353000695,HASTINGS,MN ,55033,2-No,2-No,17.41
KENNEDY ELEMENTARY,Minnesota,MINNESOTA,274272002445,WILLMAR,MN ,56201,2-No,2-No,15.23
KENNEDY ELEMENTARY,California,CALIFORNIA,063801006420,Stockton,CA ,95210,2-No,2-No,30.09
KENNEDY ELEMENTARY,Wisconsin,WISCONSIN,550582000628,Green Bay,WI ,54304,2-No,2-No,11.75
KENNEDY ELEMENTARY,Wisconsin,WISCONSIN,550702001686,Janesville,WI ,53546,2-No,2-No,15.83
KENNEDY ELEMENTARY,Wisconsin,WISCONSIN,551449001873,Junction City,WI ,54443,2-No,2-No,15.36
KENNEDY ELEMENTARY,Kentucky,KENTUCKY,210299000786,Louisville,KY ,40211,2-No,2-No,19.22
KENNEDY ELEMENTARY,Wisconsin,WISCONSIN,550561002247,Grafton,WI ,53024,2-No,2-No,13.92
KENNEDY ELEMENTARY,Minnesota,MINNESOTA,271778000815,LAKEVILLE,MN ,55044,2-No,2-No,16.20
KENNEDY ELEMENTARY - 08,SOUTH DAKOTA,SOUTH DAKOTA,465526001353,Pierre,SD ,57501,2-No,2-No,16.27
KENNEDY ELEMENTARY SCHOOL,Michigan,MICHIGAN,262184005889,LIVONIA,MI ,48154,1-Yes,1-Yes,17.67
KENNEDY ELEMENTARY SCHOOL,New Jersey,NEW JERSEY,341434004532,SUCCASUNNA,NJ ,07876,2-No,2-No,13.70
KENNEDY ELEMENTARY SCHOOL,Oregon,OREGON,410804000436,Medford,OR ,97504,2-No,2-No,20.09
KENNEDY ELEMENTARY SCHOOL,Mississippi,MISSISSIPPI,280288001061,MCCOMB,MS ,39648,2-No,2-No,31.71
KENNEDY ELEMENTARY SCHOOL,Idaho,IDAHO,160192000338,REXBURG,ID ,83440,2-No,2-No,22.10
KENNEDY ELEMENTARY SCHOOL,Georgia,GEORGIA,130029002016,Winder,GA ,30680,2-No,2-No,13.01
KENNEDY ELEMENTARY SCHOOL,Oregon,OREGON,411082000792,Keizer,OR ,97303,2-No,2-No,16.91
KENNEDY ELEMENTARY SCHOOL,Nebraska,NEBRASKA,317482001398,OMAHA,NE ,68111,2-No,2-No,8.27
KENNEDY ELEMENTARY SCHOOL,North Dakota,NORTH DAKOTA,380678000206,Fargo,ND ,58104,2-No,2-No,15.30
KENNEDY ES,Oklahoma,OKLAHOMA,402172001076,Norman,OK ,73071,2-No,2-No,15.89
KENNEDY GARDENS ELEMENTARY,California,CALIFORNIA,060690000638,Calexico,CA ,92231,2-No,2-No,22.68
KENNEDY HIGH SCHOOL,Illinois,ILLINOIS,170993000924,Chicago,IL ,60638,1-Yes,1-Yes,16.46
KENNEDY HIGH SCHOOL,Minnesota,MINNESOTA,271188000578,FERGUS FALLS,MN ,56537,1-Yes,1-Yes,10.14
KENNEDY JOHN F ELEMENTARY SCHOOL,Massachusetts,MASSACHUSETTS,250279000265,Jamaica Plain,MA ,02130,2-No,2-No,20.20
KENNEDY JUNIOR HIGH SCHOOL,Illinois,ILLINOIS,172771005436,Lisle,IL ,60532,2-No,2-No,15.39
KENNEDY LEARNING CENTER,MICHIGAN,MICHIGAN,263231008709,Southfield,MI ,48075,1-Yes,1-Yes,3.50
KENNEDY MIDDLE,Wisconsin,WISCONSIN,550516000554,Germantown,WI ,53022,2-No,2-No,15.69
KENNEDY MIDDLE,California,CALIFORNIA,061203001336,El Centro,CA ,92243,2-No,2-No,19.68
KENNEDY MIDDLE,North Carolina,NORTH CAROLINA,370297001232,Charlotte,NC ,28273,2-No,2-No,16.60
KENNEDY MIDDLE,New Mexico,NEW MEXICO,350006000071,ALBUQUERQUE,NM ,87123,2-No,2-No,14.51
KENNEDY MIDDLE,Texas,TEXAS,483486011569,PHARR,TX ,78577,2-No,2-No,13.56
KENNEDY MIDDLE SCHOOL,Oregon,OREGON,410474000564,Eugene,OR ,97405,2-No,2-No,23.56
KENNEDY MIDDLE SCHOOL,Illinois,ILLINOIS,173451003394,Rockford,IL ,61101,2-No,2-No,13.83
KENNEDY MIDDLE SCHOOL,MINNESOTA,MINNESOTA,271188004944,FERGUS FALLS,MN ,56537,2-No,2-No,777.61
KENNEDY MIDDLE SCHOOL,Michigan,MICHIGAN,263267006819,SAINT CLAIR SHORES,MI ,48082,2-No,2-No,19.39
KENNEDY PARK ELEMENTARY SCHOOL,New Jersey,NEW JERSEY,341812003702,ISELIN,NJ ,08830,2-No,2-No,16.59
KENNEDY PATRICK J ELEMENTARY SCHOOL,Massachusetts,MASSACHUSETTS,250279000302,East Boston,MA ,02128,2-No,2-No,15.70
KENNEDY ROAD MIDDLE SCHOOL,Georgia,GEORGIA,130252003449,Griffin,GA ,30223,2-No,2-No,15.43
KENNEDY SCHOOL,Nebraska,NEBRASKA,317802001852,VALENTINE,NE ,69201,2-No,2-No,4.68
KENNEDY SCHOOL,Montana,MONTANA,300528000144,Butte,MT ,59701,2-No,2-No,13.68
KENNEDY SENIOR HIGH,Minnesota,MINNESOTA,270579000220,BLOOMINGTON,MN ,55420,1-Yes,1-Yes,19.03
KENNEDY ZAPATA EL,Texas,TEXAS,484365007150,LAREDO,TX ,78046,2-No,2-No,14.43
KENNEDY-CURRY MIDDLE,Texas,TEXAS,481623012455,DALLAS,TX ,75241,2-No,2-No,16.45
KENNEDY-LONGFELLOW,Massachusetts,MASSACHUSETTS,250327000444,Cambridge,MA ,02139,2-No,2-No,9.32
KENNEDY-POWELL EL,Texas,TEXAS,484233007788,TEMPLE,TX ,76504,2-No,2-No,15.84
KENNELLY SCHOOL,Connecticut,CONNECTICUT,090192000368,Hartford,CT ,06114,2-No,2-No,15.08
KENNER DISCOVERY HEALTH SCIENCES ACADEMY,Louisiana,LOUISIANA,220084000653,Kenner,LA ,70062,2-No,2-No,17.96
KENNERLY ELEM.,Missouri,MISSOURI,291869001021,ST LOUIS,MO ,63128,2-No,2-No,15.87
KENNESAW CHARTER SCHOOL,Georgia,GEORGIA,130129002842,Kennesaw,GA ,30152,2-No,2-No,15.73
KENNESAW ELEMENTARY SCHOOL,Georgia,GEORGIA,130129000552,Kennesaw,GA ,30144,2-No,2-No,12.43
KENNESAW MOUNTAIN HIGH SCHOOL,Georgia,GEORGIA,130129002365,Kennesaw,GA ,30152,1-Yes,1-Yes,17.29
KENNETH A. BRETT SCHOOL,New Hampshire,NEW HAMPSHIRE,330660000432,Tamworth,NH ,03886,2-No,2-No,8.19
KENNETH BURDETT SCHOOL,Utah,UTAH,490006901139,OGDEN,UT ,84404,1-Yes,1-Yes,2.91
KENNETH C. HANRAHAN ELEM.,Missouri,MISSOURI,291629002786,JENNINGS,MO ,63136,2-No,2-No,16.25
KENNETH COOMBS SCHOOL,Massachusetts,MASSACHUSETTS,250744002528,Mashpee,MA ,02649,2-No,2-No,9.73
KENNETH D BAILEY ACADEMY,Illinois,ILLINOIS,171179006288,Danville,IL ,61832,1-Yes,1-Yes,–
KENNETH D. KING MIDDLE SCHOOL,Kentucky,KENTUCKY,210411000482,Harrodsburg,KY ,40330,2-No,2-No,16.05
KENNETH DAVIS EL,Texas,TEXAS,482892009050,ARLINGTON,TX ,76001,2-No,2-No,12.59
KENNETH E LITTLE EL,Texas,TEXAS,481707001480,BACLIFF,TX ,77518,2-No,2-No,15.79
KENNETH E NEUBERT ELEM SCHOOL,Illinois,ILLINOIS,170855000495,Algonquin,IL ,60102,2-No,2-No,13.01
KENNETH GARDNER LEADERSHIP ACADEMY,South Carolina,SOUTH CAROLINA,450378001099,Kingstree,SC ,29556,2-No,2-No,15.88
